state,energy type,class,curvature,DD at lowest energy use,DDmax,DDmin,energy use at highest DD,energy use at lowest DD,lowest energy use
Alabama,NG,1,0.00E+00,4.142309797,4.085659551,0,-15.06563917,0,-15.06563917
Arizona,NG,2,0.00E+00,0,0,0,-7.710627989,-31.35090577,-7.760636594
Arkansas,NG,3,0.00E+00,-6.519430761,0,0,-2.515549377,-13.61253633,-3.772060863
California,NG,3,0.00E+00,-5.256157635,0,0,-8.575470868,-46.44489374,-10.32292242
Colorado,NG,4,0.00E+00,0,2.307881773,0,-9.292604434,-28.56975981,-11.71930543
Connecticut,NG,5,9.04E-05,2.90530925,3.089490969,0,-13.83417391,0,-13.83045755
Delaware,NG,6,0.00E+00,0,0,0,0,19.31359896,0
Florida,NG,7,5.45E-05,0,0,0,-2.854626773,18.72869972,-3.481177803
Georgia,NG,8,-2.22E-05,0,0,0,-0.745971852,-1.612974365,-0.574841373
Idaho,NG,9,-3.96E-05,-1.888888889,0,0,-3.098364233,-28.19091606,-3.991438166
Illinois,NG,10,8.54E-05,0,0,0,5.264869337,65.49482024,5.071999119
Indiana,NG,2,0.00E+00,0,0,0,-11.39968041,-61.765934,-11.41785365
Iowa,NG,2,0.00E+00,0,0,0,-8.540293791,-39.96212936,-8.757766785
Kansas,NG,2,0.00E+00,0,0,0,-7.55898644,-49.864118,-7.559921851
Kentucky,NG,3,0.00E+00,-3.625889436,0,0,-9.365364145,-64.1899994,-10.81421227
Louisiana,NG,8,-3.09E-05,0,0,0,-6.258904544,-38.10009628,-6.541677247
Maine,NG,3,0.00E+00,-3.571154899,0,0,-8.813914638,-34.33692569,-8.833460257
Maryland,NG,10,5.49E-06,0,0,0,0.402253251,9.49725814,0.402253251
Massachusetts,NG,11,3.94E-05,-3.176792556,0,0,-6.651988916,0,-7.39389071
Michigan,NG,12,0.00E+00,0,0,0,0,0,0
Minnesota,NG,13,0.00E+00,0,0,0,-13.84449027,0,-13.84449027
Mississippi,NG,14,2.55E-05,0,0,0,-7.828392713,0,-7.828392713
Missouri,NG,13,0.00E+00,0,0,0,-5.252636926,0,-5.483624429
Montana,NG,2,0.00E+00,0,0,0,-8.737287584,-58.06136828,-9.608239152
Nebraska,NG,14,5.97E-05,0,0,0,-8.317189203,0,-8.317189203
Nevada,NG,2,0.00E+00,0,0,0,-9.062957057,-61.91175136,-9.388117891
New Hampshire,NG,15,8.51E-05,-7.085659551,0,4.699507389,2.668988279,0,0
New Jersey,NG,5,1.34E-05,4.224137931,4.317186645,0,-1.057651333,0,-1.057651333
New Mexico,NG,16,5.72E-05,0,0,0,0,34.9672702,-2.475777139
New York,NG,2,0.00E+00,0,0,0,-6.296332093,-22.43112339,-3.921166791
North Carolina,NG,17,5.43E-05,0,0,0,0,29.91386258,0
North Dakota,NG,18,4.90E-05,-4.871100164,0,0,0,17.0550927,-0.999888726
Ohio,NG,19,4.22E-05,0,0,7.858237548,-5.863790147,0,-5.863790147
Oklahoma,NG,13,0.00E+00,0,0,0,-11.09510082,0,-11.09510082
Oregon,NG,3,0.00E+00,-5.361247947,0,0,-6.416648929,-44.29946321,-9.812037779
Pennsylvania,NG,17,9.85E-05,0,0,0,0,23.065563,0
Rhode Island,NG,13,0.00E+00,0,0,0,-7.713058261,0,-7.806632442
South Carolina,NG,13,0.00E+00,0,0,0,-6.95806941,0,-7.316849187
South Dakota,NG,20,0.00E+00,-5.109742748,0,0,0,0,0
Tennessee,NG,14,4.61E-05,0,0,0,-4.573561974,0,-4.5755745
Texas,NG,21,0.00E+00,0,0,0,0,0,-2.643642509
Utah,NG,2,0.00E+00,0,0,0,-10.07067945,-35.6434337,-11.43440961
Vermont,NG,14,5.79E-05,0,0,0,-5.218721645,0,-6.013056751
Virginia,NG,10,1.03E-05,0,0,0,1.654715704,14.57830077,1.654715704
Washington,NG,16,3.17E-05,0,0,0,0,19.89254047,-1.46732856
West Virginia,NG,17,6.54E-05,0,0,0,0,21.5970601,0
Wisconsin,NG,2,0.00E+00,0,0,0,-8.674009285,-28.3971263,-8.674009285
Wyoming,NG,14,3.09E-05,0,0,0,-5.787359373,0,-5.787359373
Alabama,electricity,1,0,3.139846743,0,0,13.53316019,27.67158249,15.67712166
Arizona,electricity,2,0.000046,-6.018883415,0,0,30.2125996,0,2.624032877
Arkansas,electricity,3,0.0000446,4.58045977,0,0,18.56365505,29.76056073,15.03092889
California,electricity,4,0.0000355,-1.019157088,2.307881773,0,7.058297983,0,0
Colorado,electricity,5,0.0000407,-18.31143952,3.089490969,0,20.68445476,2.853076366,3.870584606
Connecticut,electricity,2,0.0000217,-5.368363437,0,0,13.94110757,0,2.710535333
Delaware,electricity,6,0.0000481,-2.120689655,0,0,20.40307344,17.67175312,5.410412325
Florida,electricity,7,0,0,0,0,6.257259974,0,0
Georgia,electricity,8,0,2.383962781,0,0,0,20.20282159,11.04177044
Idaho,electricity,9,0,0,0,0,-21.83024906,0,-21.66291138
Illinois,electricity,6,0.00000391,-14.34126984,0,0,3.158351309,2.07362883,2.126853659
Indiana,electricity,10,0,-2.864258347,0,0,22.54649281,11.20001866,6.057346464
Iowa,electricity,11,0.0000669,0,0,0,41.0177657,38.96974016,17.4446673
Kansas,electricity,3,0.0000387,3.507662835,0,0,17.17450485,16.25140276,6.55110498
Kentucky,electricity,12,0,0,0,0,12.52207698,23.50285577,12.92257127
Louisiana,electricity,3,0.0000747,5.34619595,0,0,17.96136479,33.89537014,18.48399128
Maine,electricity,6,0.000158563,-13.05446086,0,0,90.38322736,30.35733654,23.34121071
Maryland,electricity,13,0.0000223,-1.660098522,0,0,10.12539677,9.971070348,0
Massachusetts,electricity,2,0.00000366,-10.70552819,0,0,2.05470282,0,0.831910584
Michigan,electricity,11,0.0000234,0,0,0,13.84660828,10.8549729,5.327262638
Minnesota,electricity,11,0.0000172,0,0,0,11.5122904,13.35419599,5.745321602
Mississippi,electricity,3,0.000105037,2.572249589,0,0,39.82228164,62.25265654,31.69476157
Missouri,electricity,3,0.000015,6.586480569,0,0,7.123721822,12.07700364,5.783358893
Montana,electricity,6,0.0000401,-10.34783799,0,0,15.27692501,11.59622735,9.577477584
Nebraska,electricity,11,0.00031528,0,0,0,184.6851277,138.1346391,69.21897944
Nevada,electricity,14,0,0,0,4.699507389,-4.783372175,-10.20620112,-6.007184245
New Hampshire,electricity,15,0.0000433,6.36453202,4.317186645,0,14.39780619,31.30090734,7.848173663
New Jersey,electricity,6,0.00000278,-11.9679803,0,0,2.301876303,0.911103417,1.002347432
New Mexico,electricity,16,0.000139437,0,0,0,39.17765642,0,0
New York,electricity,6,0.00000479,-6.720306513,0,0,3.014012565,1.893431742,1.226444164
North Carolina,electricity,6,0.0000218,-3.59168035,0,0,10.62144117,2.538442899,1.606049918
North Dakota,electricity,17,0.000474629,-9.397372742,0,7.858237548,303.7377218,105.9370161,0
Ohio,electricity,11,0.0000247,0,0,0,16.61735602,15.6289654,7.851569774
Oklahoma,electricity,3,0.0000415,3.048440066,0,0,17.53351221,20.2217253,8.635854823
Oregon,electricity,18,0.0000584,-10.90941434,0,0,6.979535261,-15.63051093,0
Pennsylvania,electricity,6,0.0000245,-3.890804598,0,0,18.03543094,16.38563094,9.098214703
Rhode Island,electricity,6,0.0000431,-8.226600985,0,0,19.70637331,6.6255353,3.232228673
South Carolina,electricity,11,0.0000417,0,0,0,15.35121659,15.11774399,5.747486111
South Dakota,electricity,11,0.0000362,0,0,0,19.70906116,26.69413738,12.49295925
Tennessee,electricity,19,0,-2.323754789,0,0,0,0,4.490330481
Texas,electricity,20,0.0000432,3.225779967,0,0,0,9.529667744,0
Utah,electricity,6,0.0000335,-9.918719212,0,0,23.93273293,4.815314045,4.030451258
Vermont,electricity,6,0.000699461,-1.815270936,0,0,385.8766881,342.9552665,175.0123291
Virginia,electricity,21,0,-11.20087575,0,0,0,-1.056757016,-0.406279922
Washington,electricity,18,0.0000769,-7.047071702,0,0,3.768312829,-15.4408242,0
West Virginia,electricity,11,0.0000861,0,0,0,44.90449439,48.79778784,22.18709074
Wisconsin,electricity,11,0.000014,0,0,0,4.96480588,11.54305284,2.292818834
Wyoming,electricity,5,0.000033,-9.475095785,4.085659551,0,15.49368293,19.1497002,11.62719778
